campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,duracionCampaña,roiAjustado,eficienciaCosto,estacionesInicio,mesInicio,roiDiario
cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,B2B,promotion,0.55,174462.47,106.0,-105.84,110421.1,3.0,July,0.0015094339622641509
networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,B2B,organic,0.95,680416.9,173.0,-172.42,631041.0900000001,1.0,March,0.003352601156069364
optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,B2B,referral,0.45,477528.27,307.0,-306.06,462717.65,3.0,July,0.003061889250814332
innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,B2C,referral,0.1,4190.95,304.0,-303.08,-32657.350000000002,4.0,November,0.0030263157894736843
configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,B2B,referral,0.92,23176.85,229.0,-228.77,1666.4199999999983,1.0,March,0.0010043668122270743
cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,B2C,paid,0.65,386133.95,498.0,-497.48,286613.02,3.0,September,0.0010441767068273093
intuitive didactic installation,2023-06-24,2024-03-27,19213.46,0.17,email,B2B,organic,0.96,925274.53,277.0,-276.83,906061.0700000001,2.0,June,0.0006137184115523466
fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,B2B,promotion,0.79,460559.74,32.0,-31.62,442986.51,3.0,July,0.011875
de-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,B2C,promotion,0.1,292885.55,612.0,-611.55,267489.14999999997,3.0,September,0.0007352941176470588
managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,B2B,referral,0.72,478980.33,365.0,-364.8,444336.11,1.0,February,0.0005479452054794521
self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,B2B,organic,0.91,974038.96,264.0,-263.31,913764.37,2.0,April,0.0026136363636363636
cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,B2B,promotion,0.96,435524.36,546.0,-545.1,355843.74,1.0,January,0.0016483516483516484
future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,B2B,referral,0.75,814672.28,10.0,-9.33,767896.65,3.0,August,0.067
horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,B2B,promotion,0.87,41004.95,698.0,-697.79,-7361.550000000003,3.0,August,0.0003008595988538682
inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,B2C,organic,0.16,390736.64,216.0,-215.84,305763.24,2.0,June,0.0007407407407407407
polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,B2C,organic,0.43,463541.48,275.0,-274.02,426196.77999999997,1.0,February,0.0035636363636363634
managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,B2C,promotion,0.83,456537.4,96.0,-95.77,442145.42000000004,3.0,July,0.0023958333333333336
seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,B2B,organic,0.18,14073.59,321.0,-320.37,-85765.04000000001,4.0,November,0.0019626168224299067
networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,B2B,referral,0.1,948309.55,625.0,-624.39,919233.43,4.0,October,0.000976
open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,B2B,promotion,0.57,993906.77,154.0,-153.31,905943.49,2.0,April,0.00448051948051948
secured optimal website,2023-05-25,2023-12-12,53935.8,0.44,social media,B2C,paid,0.4,958654.12,201.0,-200.56,904718.32,2.0,May,0.0021890547263681594
seamless zero-defect portal,2022-08-12,2024-07-19,71277.1,0.21,email,B2B,paid,0.56,932824.61,707.0,-706.79,861547.51,3.0,August,0.000297029702970297
configurable eco-centric capability,2022-10-02,2024-03-09,15968.2,0.53,social media,B2C,paid,0.15,430007.3,524.0,-523.47,414039.1,4.0,October,0.0010114503816793894
customizable directional paradigm,2023-01-20,2023-08-16,54468.41,0.7,social media,B2C,paid,0.7,924154.29,208.0,-207.3,869685.88,1.0,January,0.003365384615384615
cross-platform holistic encryption,2023-07-27,2024-02-15,29393.78,0.34,podcast,B2B,promotion,0.8,72323.84,203.0,-202.66,42930.06,3.0,July,0.0016748768472906405
vision-oriented encompassing system engine,2022-11-24,2024-03-22,9147.79,0.9,email,B2B,referral,0.28,42048.95,484.0,-483.1,32901.159999999996,4.0,November,0.001859504132231405
ergonomic next generation throughput,2022-12-16,2024-03-25,68801.22,0.6,social media,B2B,organic,0.65,482216.95,465.0,-464.4,413415.73,4.0,December,0.0012903225806451613
vision-oriented 4thgeneration conglomeration,2023-01-18,2024-04-22,1309.17,0.91,podcast,B2C,organic,0.27,273231.88,460.0,-459.09,271922.71,1.0,January,0.0019782608695652175
ameliorated secondary data-warehouse,2023-04-29,2023-08-24,27168.6,0.74,social media,B2B,organic,0.1,704768.1,117.0,-116.26,677599.5,2.0,April,0.006324786324786324
programmable executive workforce,2022-11-22,2024-07-01,39682.9,0.95,webinar,B2B,paid,0.7,116505.36,587.0,-586.05,76822.45999999999,4.0,November,0.0016183986371379898
cross-group user-facing application,2023-02-27,2024-01-06,89227.7,0.9,podcast,B2C,promotion,0.0,617379.96,313.0,-312.1,528152.26,1.0,February,0.002875399361022364
secured systematic architecture,2022-11-26,2024-04-16,96917.97,0.55,podcast,B2C,promotion,0.39,571977.28,507.0,-506.45,475059.31000000006,4.0,November,0.0010848126232741618
seamless bifurcated firmware,2022-09-06,2023-12-12,28323.41,0.84,webinar,B2B,organic,0.9,984261.3,462.0,-461.16,955937.89,3.0,September,0.0018181818181818182
intuitive directional website,2023-06-15,2024-01-07,63656.18,0.17,podcast,B2B,referral,0.4,77500.94,206.0,-205.83,13844.760000000002,2.0,June,0.000825242718446602
mandatory incremental throughput,2023-02-28,2024-07-01,69084.1,0.51,podcast,B2B,organic,0.98,210953.33,489.0,-488.49,141869.22999999998,1.0,February,0.0010429447852760736
organic 24/7 secured line,2023-07-14,2023-10-06,65447.41,0.5,email,B2B,paid,0.26,477907.76,84.0,-83.5,412460.35,3.0,July,0.005952380952380952
user-friendly analyzing moratorium,2023-04-06,2024-03-16,20328.53,0.99,email,B2B,organic,0.97,658107.7,345.0,-344.01,637779.1699999999,2.0,April,0.0028695652173913043
programmable discrete intranet,2023-03-05,2024-02-13,8041.9,0.5,social media,B2B,paid,0.96,567808.35,345.0,-344.5,559766.45,1.0,March,0.0014492753623188406
future-proofed empowering forecast,2022-12-11,2023-11-05,19030.69,0.39,webinar,B2C,promotion,0.75,472138.22,329.0,-328.61,453107.52999999997,4.0,December,0.0011854103343465045
re-engineered solution-oriented core,2022-10-20,2024-02-11,6124.7,0.87,email,B2B,referral,0.67,397435.21,479.0,-478.13,391310.51,4.0,October,0.0018162839248434238
diverse grid-enabled forecast,2022-11-18,2023-11-18,11271.19,0.96,social media,B2C,referral,0.81,538367.39,365.0,-364.04,527096.2000000001,4.0,November,0.00263013698630137
function-based motivating functionalities,2022-12-11,2024-03-18,28203.84,0.64,email,B2C,organic,0.24,570246.17,463.0,-462.36,542042.3300000001,4.0,December,0.0013822894168466523
user-centric holistic firmware,2022-08-06,2024-03-12,99957.15,0.63,webinar,B2C,referral,0.62,430498.24,584.0,-583.37,330541.08999999997,3.0,August,0.0010787671232876713
virtual real-time architecture,2023-06-06,2023-12-25,27675.42,0.7,email,B2B,paid,0.1,672667.53,202.0,-201.3,644992.11,2.0,June,0.003465346534653465
open-source 6thgeneration secured line,2023-03-07,2023-09-30,12480.75,0.9,podcast,B2B,promotion,0.82,847778.95,207.0,-206.1,835298.2,1.0,March,0.004347826086956522
reduced leadingedge architecture,2023-04-23,2024-06-06,84119.33,0.93,email,B2C,organic,0.64,816593.62,410.0,-409.07,732474.29,2.0,April,0.0022682926829268295
fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,6658.22,0.64,webinar,B2C,promotion,0.3,273952.77,477.0,-476.36,267294.55000000005,3.0,September,0.001341719077568134
organic 4thgeneration neural-net,2022-10-29,2024-04-16,53826.21,0.2,podcast,B2B,promotion,0.2,683796.77,535.0,-534.8,629970.56,4.0,October,0.0003738317757009346
centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,85125.0,0.56,webinar,B2C,promotion,0.14,364648.39,16.0,-15.44,279523.39,3.0,July,0.035
persevering web-enabled workforce,2023-06-23,2024-01-03,79220.8,0.6,social media,B2C,paid,0.3,29575.48,194.0,-193.4,-49645.32000000001,2.0,June,0.003092783505154639
multi-channeled high-level interface,2023-04-06,2023-08-15,46560.5,0.67,social media,B2C,paid,0.85,489015.27,131.0,-130.33,442454.77,2.0,April,0.005114503816793893
re-contextualized high-level project,2023-07-13,2024-04-22,56850.62,0.84,social media,B2C,referral,0.98,383111.17,284.0,-283.16,326260.55,3.0,July,0.0029577464788732395
right-sized tangible product,2022-11-09,2024-02-16,94856.15,0.84,email,B2B,referral,0.23,283711.16,464.0,-463.16,188855.00999999998,4.0,November,0.0018103448275862068
diverse leadingedge initiative,2022-10-17,2023-08-16,93383.63,0.6,email,B2B,promotion,0.76,749909.68,303.0,-302.4,656526.05,4.0,October,0.0019801980198019802
intuitive transitional hardware,2023-02-25,2023-09-15,26183.57,0.47,social media,B2B,referral,0.26,429790.1,202.0,-201.53,403606.52999999997,1.0,February,0.0023267326732673266
diverse 6thgeneration superstructure,2022-08-05,2024-01-05,99128.36,0.9,email,B2B,promotion,0.78,852334.6,518.0,-517.1,753206.24,3.0,August,0.0017374517374517376
enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,80647.64,0.9,webinar,B2B,referral,0.81,872159.47,620.0,-619.1,791511.83,3.0,August,0.0014516129032258066
function-based systematic emulation,2023-03-02,2024-07-12,30883.42,0.63,social media,B2B,paid,0.37,873342.13,498.0,-497.37,842458.71,1.0,March,0.0012650602409638553
managed asymmetric array,2022-10-14,2024-07-06,24998.61,0.4,webinar,B2C,organic,0.39,71257.79,631.0,-630.6,46259.17999999999,4.0,October,0.0006339144215530904
enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,64119.81,0.26,social media,B2B,promotion,0.93,211910.58,341.0,-340.74,147790.77,3.0,September,0.0007624633431085044
adaptive clear-thinking methodology,2023-05-16,2024-03-21,60594.85,0.49,social media,B2C,paid,0.82,850376.61,310.0,-309.51,789781.76,2.0,May,0.0015806451612903226
networked zero administration model,2022-11-01,2023-11-06,22411.36,0.51,webinar,B2C,organic,0.4,102385.82,370.0,-369.49,79974.46,4.0,November,0.0013783783783783783
seamless well-modulated open architecture,2022-08-28,2023-10-09,47906.32,0.74,webinar,B2B,promotion,0.45,871834.53,407.0,-406.26,823928.2100000001,3.0,August,0.0018181818181818182
exclusive radical installation,2022-08-09,2023-10-10,28548.76,0.28,email,B2C,promotion,0.6,181056.53,427.0,-426.72,152507.77,3.0,August,0.0006557377049180329
intuitive bottom-line algorithm,2022-08-27,2024-05-06,44251.43,0.72,email,B2B,referral,0.16,846562.3,618.0,-617.28,802310.87,3.0,August,0.0011650485436893203
compatible stable extranet,2022-12-24,2023-11-13,32895.11,0.8,podcast,B2C,referral,0.1,136858.12,324.0,-323.2,103963.01,4.0,December,0.0024691358024691358
progressive secondary synergy,2022-11-08,2024-04-06,55985.9,0.9,social media,B2B,organic,0.59,505421.93,515.0,-514.1,449436.02999999997,4.0,November,0.0017475728155339806
sharable next generation ability,2022-12-15,2024-02-19,23212.27,0.13,webinar,B2C,referral,0.49,830178.2,431.0,-430.87,806965.9299999999,4.0,December,0.0003016241299303944
devolved value-added support,2023-07-02,2024-02-13,42051.6,0.32,email,B2B,referral,0.25,287690.5,226.0,-225.68,245638.9,3.0,July,0.001415929203539823
front-line full-range matrices,2022-08-04,2023-08-10,79829.52,0.69,email,B2B,paid,0.7,472828.97,371.0,-370.31,392999.44999999995,3.0,August,0.0018598382749326144
grass-roots foreground firmware,2023-04-26,2024-04-21,96169.66,0.28,podcast,B2C,organic,0.45,455474.93,361.0,-360.72,359305.27,2.0,April,0.000775623268698061
implemented reciprocal monitoring,2023-02-26,2024-06-19,72722.22,0.79,email,B2C,organic,0.1,619138.31,479.0,-478.21,546416.0900000001,1.0,February,0.0016492693110647183
reverse-engineered foreground approach,2023-02-22,2024-02-18,52125.2,0.16,webinar,B2C,referral,0.8,27754.76,361.0,-360.84,-24370.44,1.0,February,0.000443213296398892
open-source maximized projection,2023-03-23,2024-03-22,77340.13,0.53,webinar,B2B,referral,0.74,347402.29,365.0,-364.47,270062.16,1.0,March,0.001452054794520548
intuitive object-oriented moratorium,2022-12-18,2023-08-28,97763.51,0.23,webinar,B2C,promotion,0.7,244772.45,253.0,-252.77,147008.94,4.0,December,0.0009090909090909091
virtual 4thgeneration graphical user interface,2023-07-27,2024-03-27,15463.29,0.38,social media,B2B,promotion,0.6,963251.51,244.0,-243.62,947788.22,3.0,July,0.001557377049180328
reactive multi-tasking extranet,2022-12-26,2023-08-25,51210.38,0.82,email,B2B,referral,0.83,536138.69,242.0,-241.18,484928.30999999994,4.0,December,0.0033884297520661156
enhanced heuristic archive,2023-05-05,2023-09-26,16066.41,0.67,email,B2B,paid,0.3,508865.73,144.0,-143.33,492799.32,2.0,May,0.004652777777777778
stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,89383.19,0.83,social media,B2C,referral,0.77,828963.15,536.0,-535.17,739579.96,4.0,October,0.0015485074626865672
open-source coherent archive,2022-08-18,2024-06-11,46558.0,0.88,podcast,B2B,organic,0.4,315646.86,663.0,-662.12,269088.86,3.0,August,0.0013273001508295626
future-proofed coherent core,2022-09-14,2024-05-08,62178.3,0.28,social media,B2C,paid,0.2,317338.48,602.0,-601.72,255160.18,3.0,September,0.00046511627906976747
decentralized radical emulation,2022-09-18,2024-04-23,20201.5,0.76,webinar,B2B,promotion,0.89,335385.42,583.0,-582.24,315183.92,3.0,September,0.0013036020583190395
team-oriented content-based data-warehouse,2022-11-12,2024-01-15,43643.99,0.26,social media,B2C,organic,0.55,470023.84,429.0,-428.74,426379.85000000003,4.0,November,0.0006060606060606061
expanded tangible capacity,2023-06-26,2024-05-07,20647.17,0.87,email,B2B,organic,0.78,759838.76,316.0,-315.13,739191.59,2.0,June,0.0027531645569620253
secured methodical system engine,2023-05-30,2024-05-08,29781.93,0.51,webinar,B2C,paid,0.46,567832.12,344.0,-343.49,538050.19,2.0,May,0.0014825581395348838
synergistic well-modulated conglomeration,2023-04-23,2023-11-23,89003.41,0.87,podcast,B2C,referral,0.18,643537.76,214.0,-213.13,554534.35,2.0,April,0.004065420560747664
programmable dedicated ability,2022-10-18,2024-03-26,34838.17,0.55,podcast,B2B,promotion,0.22,286374.76,525.0,-524.45,251536.59000000003,4.0,October,0.0010476190476190477
public-key dynamic synergy,2023-03-03,2023-11-16,8209.8,0.91,webinar,B2B,paid,0.78,725706.76,258.0,-257.09,717496.96,1.0,March,0.0035271317829457366
synergistic actuating benchmark,2022-12-14,2023-08-20,13024.35,0.2,email,B2C,organic,0.99,882368.6,249.0,-248.8,869344.25,4.0,December,0.0008032128514056225
optional client-driven approach,2022-12-30,2024-07-02,9180.95,0.39,webinar,B2C,organic,0.97,93102.44,550.0,-549.61,83921.49,4.0,December,0.0007090909090909091
cloned exuding matrices,2023-06-03,2024-07-16,46215.77,0.65,email,B2C,paid,0.63,326486.31,409.0,-408.35,280270.54,2.0,June,0.0015892420537897312
expanded zero tolerance adapter,2022-09-19,2024-05-07,80474.62,0.86,email,B2C,organic,0.7,394021.52,596.0,-595.14,313546.9,3.0,September,0.0014429530201342281
persistent incremental installation,2022-12-22,2024-01-27,12789.78,0.73,email,B2C,paid,0.4,516246.2,401.0,-400.27,503456.42,4.0,December,0.0018204488778054862
integrated full-range encoding,2023-06-18,2024-03-01,42818.39,0.12,email,B2B,promotion,0.14,778282.87,257.0,-256.88,735464.48,2.0,June,0.0004669260700389105
total system-worthy framework,2023-01-16,2023-08-10,77090.58,0.67,email,B2C,organic,0.1,818026.22,206.0,-205.33,740935.64,1.0,January,0.0032524271844660197
persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,10659.15,0.7,email,B2B,promotion,0.84,506589.58,210.0,-209.3,495930.43,1.0,January,0.003333333333333333
self-enabling explicit interface,2023-01-23,2024-06-19,71211.28,0.85,email,B2B,referral,0.94,628222.4,513.0,-512.15,557011.12,1.0,January,0.0016569200779727095
user-centric responsive software,2022-09-24,2023-08-04,55105.95,0.39,email,B2B,paid,0.65,980593.34,314.0,-313.61,925487.39,3.0,September,0.0012420382165605095
enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,22701.3,0.21,email,B2C,promotion,0.86,89740.19,364.0,-363.79,67038.89,1.0,January,0.0005769230769230769
upgradable transitional productivity,2022-12-25,2024-05-12,28460.11,0.0,social media,B2B,paid,0.37,593949.35,504.0,-504.0,565489.24,4.0,December,0.0
assimilated asynchronous project,2023-03-30,2024-06-25,81474.69,0.34,email,B2B,paid,0.98,116549.43,453.0,-452.66,35074.73999999999,1.0,March,0.0007505518763796911
reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,99406.41,0.77,webinar,B2B,promotion,0.3,485297.93,428.0,-427.23,385891.52,4.0,October,0.0017990654205607478
networked bi-directional help-desk,2023-03-23,2023-09-24,89764.52,0.5,podcast,B2C,organic,0.8,346320.53,185.0,-184.5,256556.01,1.0,March,0.002702702702702703
diverse exuding superstructure,2022-09-07,2023-11-04,11769.71,0.63,webinar,B2B,paid,0.24,155142.36,423.0,-422.37,143372.65,3.0,September,0.0014893617021276596
organized directional service-desk,2022-10-17,2024-05-11,44085.8,0.97,webinar,B2B,referral,0.71,88806.24,572.0,-571.03,44720.44,4.0,October,0.0016958041958041957
balanced 24hour intranet,2022-09-15,2024-04-11,31712.22,0.5,email,B2C,paid,0.12,523802.73,574.0,-573.5,492090.51,3.0,September,0.0008710801393728223
reactive well-modulated portal,2023-02-04,2023-09-02,34455.95,0.4,social media,B2B,organic,0.6,601996.12,210.0,-209.6,567540.17,1.0,February,0.0019047619047619048
realigned intangible application,2023-07-06,2024-01-24,31468.43,0.47,email,B2B,promotion,0.48,147390.21,202.0,-201.53,115921.78,3.0,July,0.0023267326732673266
front-line web-enabled orchestration,2023-01-12,2024-06-13,89740.86,0.37,social media,B2C,paid,0.21,477285.33,518.0,-517.63,387544.47000000003,1.0,January,0.0007142857142857143
polarized upward-trending frame,2023-03-23,2024-05-23,6806.2,0.55,webinar,B2B,paid,0.78,519790.34,427.0,-426.45,512984.14,1.0,March,0.001288056206088993
persevering content-based archive,2022-12-27,2024-01-04,21795.27,0.55,social media,B2B,promotion,0.89,397630.37,373.0,-372.45,375835.1,4.0,December,0.001474530831099196
de-engineered content-based budgetary management,2022-09-10,2023-10-06,29328.34,0.4,social media,B2B,promotion,0.47,92788.7,391.0,-390.6,63460.36,3.0,September,0.0010230179028132994
inverse well-modulated forecast,2023-07-22,2024-07-11,7632.49,0.12,webinar,B2B,organic,0.62,782850.48,355.0,-354.88,775217.99,3.0,July,0.0003380281690140845
progressive web-enabled concept,2022-11-16,2024-05-17,46890.76,0.26,webinar,B2B,organic,0.64,258942.95,548.0,-547.74,212052.19,4.0,November,0.0004744525547445256
visionary 4thgeneration help-desk,2022-11-23,2024-05-26,81853.53,0.54,webinar,B2C,referral,0.17,974972.63,550.0,-549.46,893119.1,4.0,November,0.0009818181818181818
up-sized attitude-oriented task-force,2023-07-02,2024-04-07,46635.4,0.4,social media,B2C,promotion,0.46,692709.3,280.0,-279.6,646073.9,3.0,July,0.0014285714285714286
sharable secondary migration,2023-04-04,2023-09-21,31531.6,0.5,webinar,B2C,referral,0.68,551172.95,170.0,-169.5,519641.35,2.0,April,0.0029411764705882353
quality-focused methodical policy,2022-10-23,2023-10-10,51428.64,0.26,social media,B2C,referral,0.28,110819.1,352.0,-351.74,59390.46000000001,4.0,October,0.0007386363636363636
distributed multimedia encryption,2022-08-16,2024-01-22,83726.63,0.5,webinar,B2B,organic,0.13,458296.26,524.0,-523.5,374569.63,3.0,August,0.0009541984732824427
switchable user-facing archive,2022-10-22,2024-06-11,85417.27,0.78,webinar,B2C,referral,0.74,509606.8,598.0,-597.22,424189.52999999997,4.0,October,0.0013043478260869566
virtual bottom-line parallelism,2022-08-16,2023-09-05,44082.14,0.5,email,B2C,organic,0.49,903002.29,385.0,-384.5,858920.15,3.0,August,0.0012987012987012987
customer-focused mobile graphic interface,2023-01-19,2023-11-21,61946.3,0.89,webinar,B2C,paid,0.85,217755.18,306.0,-305.11,155808.88,1.0,January,0.0029084967320261437
networked asynchronous standardization,2023-06-06,2024-01-06,50168.89,0.14,email,B2B,referral,0.67,610750.16,214.0,-213.86,560581.27,2.0,June,0.0006542056074766356
persevering coherent concept,2022-09-15,2023-12-13,54331.15,0.5,social media,B2B,promotion,0.39,992544.71,454.0,-453.5,938213.5599999999,3.0,September,0.0011013215859030838
secured systemic groupware,2022-08-28,2023-10-17,72529.72,0.83,email,B2C,referral,0.24,97176.72,415.0,-414.17,24647.0,3.0,August,0.002
team-oriented motivating productivity,2022-09-21,2023-09-06,40881.17,0.35,podcast,B2B,promotion,0.1,689581.23,350.0,-349.65,648700.0599999999,3.0,September,0.001
seamless exuding model,2022-11-20,2023-08-05,68885.7,0.19,webinar,B2B,organic,0.21,162090.83,258.0,-257.81,93205.12999999999,4.0,November,0.0007364341085271318
cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,48358.0,0.3,email,B2C,paid,0.39,507844.26,205.0,-204.7,459486.26,1.0,February,0.0014634146341463415
face-to-face high-level synergy,2022-08-15,2024-06-03,98289.74,0.99,webinar,B2B,paid,0.79,811980.83,658.0,-657.01,713691.09,3.0,August,0.0015045592705167172
compatible eco-centric access,2022-08-24,2023-09-04,4016.62,0.62,social media,B2B,referral,0.99,773055.56,376.0,-375.38,769038.9400000001,3.0,August,0.001648936170212766
down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,41419.79,0.74,social media,B2B,organic,0.35,289139.49,422.0,-421.26,247719.69999999998,2.0,April,0.0017535545023696683
streamlined non-volatile projection,2022-10-17,2024-01-19,52686.92,0.18,social media,B2B,organic,0.28,443069.55,459.0,-458.82,390382.63,4.0,October,0.000392156862745098
synergized client-driven algorithm,2023-04-11,2023-12-05,16420.77,0.92,social media,B2C,organic,0.73,632069.31,238.0,-237.08,615648.54,2.0,April,0.003865546218487395
cross-platform composite matrix,2022-10-30,2024-02-25,46976.52,0.1,webinar,B2C,organic,0.85,371431.14,483.0,-482.9,324454.62,4.0,October,0.00020703933747412008
networked background utilization,2023-03-12,2024-05-19,91122.63,0.5,social media,B2C,organic,0.7,831243.27,434.0,-433.5,740120.64,1.0,March,0.001152073732718894
quality-focused composite challenge,2022-12-01,2024-01-28,4855.98,0.35,podcast,B2B,promotion,0.85,649003.16,423.0,-422.65,644147.18,4.0,December,0.0008274231678486998
enhanced asymmetric open system,2023-04-08,2023-12-20,54503.83,0.5,social media,B2B,promotion,0.9,79089.3,256.0,-255.5,24585.47,2.0,April,0.001953125
innovative hybrid time-frame,2022-08-12,2023-12-21,12098.23,0.5,email,B2C,paid,0.44,270608.24,496.0,-495.5,258510.00999999998,3.0,August,0.0010080645161290322
re-engineered intangible intranet,2023-03-06,2024-03-15,14419.22,0.29,podcast,B2C,promotion,0.18,108083.4,375.0,-374.71,93664.18,1.0,March,0.0007733333333333332
multi-channeled zero administration software,2023-01-09,2023-10-17,59892.4,0.68,email,B2B,promotion,0.66,940283.84,281.0,-280.32,880391.44,1.0,January,0.002419928825622776
universal national adapter,2022-11-28,2024-07-05,5197.61,0.1,social media,B2C,referral,0.78,61121.6,585.0,-584.9,55923.99,4.0,November,0.00017094017094017094
centralized system-worthy knowledgebase,2022-09-16,2024-01-20,6310.87,0.74,email,B2C,paid,0.62,845412.79,491.0,-490.26,839101.92,3.0,September,0.0015071283095723013
open-architected asymmetric time-frame,2023-03-25,2024-06-03,80612.13,0.31,podcast,B2C,promotion,0.97,112762.13,436.0,-435.69,32150.0,1.0,March,0.0007110091743119266
centralized leadingedge local area network,2023-01-31,2023-09-27,80358.87,0.5,webinar,B2B,organic,0.64,112718.32,239.0,-238.5,32359.45000000001,1.0,January,0.0020920502092050207
organized needs-based conglomeration,2022-10-19,2023-10-02,73855.23,0.54,social media,B2B,promotion,0.5,215072.47,348.0,-347.46,141217.24,4.0,October,0.0015517241379310346
optional secondary collaboration,2023-04-19,2024-02-28,63911.62,0.4,podcast,B2C,organic,0.49,177445.17,315.0,-314.6,113533.55000000002,2.0,April,0.0012698412698412698
synchronized client-driven challenge,2023-02-08,2023-08-22,50124.39,0.7,social media,B2B,paid,0.22,639517.42,195.0,-194.3,589393.03,1.0,February,0.0035897435897435893
enterprise-wide zero administration graphic interface,2022-11-24,2024-05-11,38086.24,0.65,podcast,B2C,paid,0.71,684590.46,534.0,-533.35,646504.22,4.0,November,0.0012172284644194756
programmable local moratorium,2023-03-27,2023-08-15,48046.33,0.9,podcast,B2C,promotion,0.45,50534.85,141.0,-140.1,2488.519999999997,1.0,March,0.006382978723404256
networked systematic attitude,2022-11-01,2023-10-02,63808.2,0.67,email,B2B,promotion,0.17,275542.3,335.0,-334.33,211734.09999999998,4.0,November,0.002
pre-emptive solution-oriented standardization,2023-01-31,2023-12-24,26057.53,0.94,email,B2B,referral,0.32,169915.72,327.0,-326.06,143858.19,1.0,January,0.002874617737003058
down-sized contextually-based strategy,2022-12-07,2024-01-20,56381.6,0.7,social media,B2C,referral,0.41,492601.2,409.0,-408.3,436219.60000000003,4.0,December,0.0017114914425427872
